Assay	Gene	Target antibiotics (major)
AY378	repA	MGE
AY384	Tn5	MGE
AY201	tnpA_1	MGE
AY202	tnpA_2	MGE
AY203	tnpA_3	MGE
AY204	tnpA_4	MGE
AY205	tnpA_5	MGE
AY206	tnpA_6	MGE
AY207	tnpA_7	MGE
AY25	Tp614	MGE
AY358	trfa	MGE
AY381	IncP_1alpha	MGE
AY288	carB	MLSB
AY60	ereA	MLSB
AY63	ereB	MLSB
AY134	erm(34)	MLSB
AY21	erm(35)	MLSB
AY91	erm(36)	MLSB
AY274	ermA	MLSB
AY283	ermA_ermTR	MLSB
AY136	ermB	MLSB
AY275	ermC	MLSB
AY18	ermD	MLSB
AY23	ermF	MLSB
AY17	ermK_1	MLSB
AY19	ermK_2	MLSB
AY137	ermT_1	MLSB
AY238	ermT_2	MLSB
AY209	ermX	MLSB
AY270	ermY	MLSB
AY77	lmrA_1	MLSB
AY252	lmrA_2	MLSB
AY251	lnuA_1	MLSB
AY272	lnuA_2	MLSB
AY67	lnuB_1	MLSB
AY68	lnuB_2	MLSB
AY278	lnuC	MLSB
AY139	matA_mel	MLSB
AY146	mefA	MLSB
AY140	mphA_1	MLSB
AY142	mphA_2	MLSB
AY141	mphB	MLSB
AY273	mphC	MLSB
AY149	msrA_1	MLSB
AY276	msrA_2	MLSB
AY138	msrC_1	MLSB
AY150	msrC_2	MLSB
AY285	oleC	MLSB
AY289	pikR1	MLSB
AY290	pikR2	MLSB
AY229	pncA	MLSB
AY224	vatB_1	MLSB
AY266	vatB_2	MLSB
AY225	vatC_1	MLSB
AY267	vatC_2	MLSB
AY73	vatD	MLSB
AY74	vatE_1	MLSB
AY263	vatE_2	MLSB
AY226	vgaA_1	MLSB
AY265	vgaA_2	MLSB
AY269	vgaA_3	MLSB
AY227	vgaB_1	MLSB
AY264	vgaB_2	MLSB
AY144	vgb_1	MLSB
AY145	vgb_2	MLSB
AY268	vgbB	MLSB
AY126	qacEdelta1_1	Other (Antiseptic)
AY159	qacEdelta1_2	Other (Antiseptic)
AY351	qacEdelta1_3	Other (Antiseptic)
AY157	bacA_1	Other (Bacitracin)
AY158	bacA_2	Other (Bacitracin)
AY143	fosB	Other (Fosfomycin)
AY76	fosX	Other (Fosfomycin)
AY347	gapA	Other (Housekeeping)
AY346	mdh	Other (Housekeeping)
AY345	rpoB	Other (Housekeeping)
AY75	uidA	Other (Housekeeping)
AY331	merA	Other (Mercury)
AY79	nisB_1	Other (Nissin)
AY348	nisB_2	Other (Nissin)
AY152	nimE	Other (Nitroimidazole)
AY49	sat4	Other (Streptothricin)
AY16	satA	Other (Streptothricin)
AY279	fabK	Other (Triclosan)
AY248	qnrA	Quinolone
AY328	qnrB	Quinolone
AY239	pmrA	(Flouro)Quinolone
AY208	folA	Sulfonamide
AY280	folP_1	Sulfonamide
AY281	folP_2	Sulfonamide
AY282	folP_3	Sulfonamide
AY178	sul1_1	Sulfonamide
AY363	sul1_2	Sulfonamide
AY133	sul2_1	Sulfonamide
AY332	sul2_2	Sulfonamide
AY333	sul3	Sulfonamide
AY54	tet(32)	Tetracycline 
AY321	tet(34)	Tetracycline 
AY320	tet(35)	Tetracycline 
AY22	tet(36)_1	Tetracycline 
AY301	tet(36)_2	Tetracycline 
AY302	tet(37)	Tetracycline 
AY271	tet(38)	Tetracycline 
AY13	tetA_1	Tetracycline 
AY180	tetA_2	Tetracycline 
AY55	tetA(P)	Tetracycline 
AY181	tetA_B_1	Tetracycline 
AY190	tetA_B_2	Tetracycline 
AY182	tetC_1	Tetracycline 
AY199	tetC_2	Tetracycline 
AY330	tetC_3	Tetracycline 
AY92	tetD_1	Tetracycline 
AY188	tetD_2	Tetracycline 
AY349	tetD_3	Tetracycline 
AY291	tetE	Tetracycline 
AY183	tetG_1	Tetracycline 
AY189	tetG_2	Tetracycline 
AY187	tetH	Tetracycline 
AY240	tetJ	Tetracycline 
AY184	tetK	Tetracycline 
AY194	tetL_1	Tetracycline 
AY195	tetL_2	Tetracycline 
AY186	tetM_1	Tetracycline 
AY193	tetM_2	Tetracycline 
AY329	tetM_3	Tetracycline 
AY179	tetO_1	Tetracycline 
AY192	tetO_2	Tetracycline 
AY292	tetPB_1	Tetracycline 
AY293	tetPB_2	Tetracycline 
AY294	tetPB_3	Tetracycline 
AY295	tetPB_4	Tetracycline 
AY296	tetPB_5	Tetracycline 
AY185	tetQ	Tetracycline 
AY135	tetR_1	Tetracycline 
AY197	tetR_2	Tetracycline 
AY198	tetR_3	Tetracycline 
AY200	tetS	Tetracycline 
AY297	tetT	Tetracycline 
AY69	tetU_1	Tetracycline 
AY70	tetU_2	Tetracycline 
AY228	tetV	Tetracycline 
AY191	tetW	Tetracycline 
AY196	tetX	Tetracycline 
AY58	dfrA1_1	Trimethoprim
AY334	dfrA1_2	Trimethoprim
AY59	dfrA12	Trimethoprim
AY210	vanA	Vancomycin
AY211	vanB_1	Vancomycin
AY212	vanB_2	Vancomycin
AY354	vanB_3	Vancomycin
AY66	vanC_1	Vancomycin
AY71	vanC_2	Vancomycin
AY72	vanC_3	Vancomycin
AY303	vanC_4	Vancomycin
AY304	vanC2_vanC3	Vancomycin
AY213	vanD	Vancomycin
AY305	vanG	Vancomycin
AY215	vanHB	Vancomycin
AY214	vanHD	Vancomycin
AY216	vanRA_1	Vancomycin
AY217	vanRA_2	Vancomycin
AY306	vanRB	Vancomycin
AY307	vanRC	Vancomycin
AY308	vanRC4	Vancomycin
AY309	vanRD	Vancomycin
AY218	vanSA	Vancomycin
AY310	vanSB	Vancomycin
AY311	vanSC_1	Vancomycin
AY312	vanSC_2	Vancomycin
AY313	vanSE	Vancomycin
AY161	vanTC_1	Vancomycin
AY314	vanTC_2	Vancomycin
AY315	vanTC_3	Vancomycin
AY316	vanTG	Vancomycin
AY220	vanWB	Vancomycin
AY219	vanWG	Vancomycin
AY221	vanXA	Vancomycin
AY223	vanXB	Vancomycin
AY222	vanXD	Vancomycin
AY317	vanYB	Vancomycin
AY318	vanYD_1	Vancomycin
AY319	vanYD_2	Vancomycin
