Row	Column	Assay	Sample	Conc	Ct	Tm	Efficiency	Flags
11	25	AY106	4B-rep2	-1	24.89	77.63	1.98	
11	26	AY106	4B-rep3	-1	26.81	77.47	1.96	
11	27	AY106	4C-rep1	-1	24.85	77.53	1.96	
11	28	AY106	4C-rep2	-1	24.82	77.65	2	
11	29	AY106	4C-rep3	-1	24.98	77.58	1.99	
11	33	AY106	5A-rep1	-1	22.57	77.48	2	
11	34	AY106	5A-rep2	-1	22.53	77.43	2.02	
11	35	AY106	5A-rep3	-1	22.5	77.35	2.04	
11	24	AY106	5C-rep1	-1	22.94	77.62	2.02	
11	25	AY106	5C-rep2	-1	22.64	77.56	2.01	
11	26	AY106	5C-rep3	-1	24.25	77.56	2.01	
20	24	AY107	4B-rep1	-1				CurveFitFailed
20	25	AY107	4B-rep2	-1				NoAmplification
20	26	AY107	4B-rep3	-1				NoAmplification
20	27	AY107	4C-rep1	-1				NoAmplification
20	28	AY107	4C-rep2	-1				NoAmplification
20	29	AY107	4C-rep3	-1				NoAmplification
20	33	AY107	5A-rep1	-1				NoAmplification
20	34	AY107	5A-rep2	-1				NoAmplification
20	35	AY107	5A-rep3	-1				NoAmplification
20	24	AY107	5C-rep1	-1	28.49	78.27	1.99	
20	25	AY107	5C-rep2	-1	27.61	77.96	1.97	
20	26	AY107	5C-rep3	-1	27.57	77.87	1.99	
29	24	AY108	4B-rep1	-1	27.71	81.76	1.93	
29	25	AY108	4B-rep2	-1	28.64	81.4	1.96	MultipleMeltPeaks
29	26	AY108	4B-rep3	-1	28.43	81.98	1.95	
29	27	AY108	4C-rep1	-1	30.36	83.03	1.94	CtIsLarge
29	28	AY108	4C-rep2	-1	26.46	82.43	1.98	
29	29	AY108	4C-rep3	-1	28.07	80.77	1.95	MultipleMeltPeaks
29	33	AY108	5A-rep1	-1	22.04	79.29	1.95	
29	34	AY108	5A-rep2	-1	21.94	79.41	1.97	
29	35	AY108	5A-rep3	-1	21.95	79.33	1.97	
29	24	AY108	5C-rep1	-1	24.89	81.75	2.02	
29	25	AY108	5C-rep2	-1	25.58	81.93	1.97	
29	26	AY108	5C-rep3	-1	27.11	81.62	1.94	
38	24	AY109	4B-rep1	-1				NoAmplification
38	25	AY109	4B-rep2	-1				NoAmplification
38	26	AY109	4B-rep3	-1	29.02	82.69	1.89	
38	27	AY109	4C-rep1	-1	28.62	81.48	1.89	
38	28	AY109	4C-rep2	-1	27.8	81.55	1.91	
38	29	AY109	4C-rep3	-1	31.1	81.84	1.88	CtIsLarge
38	33	AY109	5A-rep1	-1	19.68	78.78	1.99	
38	34	AY109	5A-rep2	-1	19.72	78.77	1.99	
38	35	AY109	5A-rep3	-1	19.72	78.76	1.98	
38	24	AY109	5C-rep1	-1	31.59	82.65	1.89	CtIsLarge. MultipleMeltPeaks
38	25	AY109	5C-rep2	-1	26.98	81.74	1.94	
38	26	AY109	5C-rep3	-1	29.15	81.55	1.91	
18	24	AY11	4B-rep1	-1	27.91	82.41	1.85	
18	25	AY11	4B-rep2	-1	27.75	82.44	1.87	
18	26	AY11	4B-rep3	-1	28.77	81.7	1.85	
18	27	AY11	4C-rep1	-1	26.12	82.51	1.84	
18	28	AY11	4C-rep2	-1	27.34	82.48	1.84	
18	29	AY11	4C-rep3	-1	26.8	82.47	1.84	
18	33	AY11	5A-rep1	-1	24.1	82.37	1.83	
18	34	AY11	5A-rep2	-1	24.47	82.32	1.87	
18	35	AY11	5A-rep3	-1	24.31	82.32	1.85	
18	24	AY11	5C-rep1	-1	24.36	82.54	1.91	
18	25	AY11	5C-rep2	-1	24.28	82.72	1.88	
18	26	AY11	5C-rep3	-1	24.63	82.7	1.88	
47	24	AY110	4B-rep1	-1	28.56	84.81	1.91	
47	25	AY110	4B-rep2	-1				CtIsLarge. CurveFitFailed
47	26	AY110	4B-rep3	-1	30.12	85.29	1.9	CtIsLarge
47	27	AY110	4C-rep1	-1	31.21	84.42	1.87	CtIsLarge
47	28	AY110	4C-rep2	-1	29.45	84.89	1.9	
47	29	AY110	4C-rep3	-1	26.57	84.54	1.96	
47	33	AY110	5A-rep1	-1	16.79	79.28	1.98	
47	34	AY110	5A-rep2	-1	16.69	79.26	1.99	
47	35	AY110	5A-rep3	-1	16.55	79.25	1.98	
47	24	AY110	5C-rep1	-1	28.2	84.08	1.92	
47	25	AY110	5C-rep2	-1	28.62	85.07	1.9	
47	26	AY110	5C-rep3	-1	33.76	84.49	1.9	CtIsLarge
56	24	AY111	4B-rep1	-1	24.82	90.45	1.89	MultipleMeltPeaks
56	25	AY111	4B-rep2	-1	24.39	86.75	1.89	MultipleMeltPeaks
56	26	AY111	4B-rep3	-1	25.36	89.47	1.86	
56	27	AY111	4C-rep1	-1	23.94	90.14	1.87	MultipleMeltPeaks
56	28	AY111	4C-rep2	-1	24.32	90.46	1.89	MultipleMeltPeaks
56	29	AY111	4C-rep3	-1	24.26	90.26	1.88	MultipleMeltPeaks
56	33	AY111	5A-rep1	-1	18.84	84.42	1.96	
56	34	AY111	5A-rep2	-1	18.96	84.42	1.95	
56	35	AY111	5A-rep3	-1	19.09	84.4	1.94	
56	24	AY111	5C-rep1	-1	24.95	90.64	1.94	MultipleMeltPeaks
56	25	AY111	5C-rep2	-1	25.38	86.38	1.94	MultipleMeltPeaks
56	26	AY111	5C-rep3	-1	24.68	86.33	1.91	MultipleMeltPeaks
65	24	AY112	4B-rep1	-1				LowEfficiency. CtIsLarge. CurveFitFailed
65	25	AY112	4B-rep2	-1				CtIsLarge. CurveFitFailed
65	26	AY112	4B-rep3	-1				CtIsLarge. CurveFitFailed
