Row	Column	Assay	Sample	Conc	Ct	Tm	Efficiency	Flags
0	9	AY1	4A-rep1	-1	12.8	81.65	1.89	
0	10	AY1	4A-rep2	-1	12.99	81.61	1.89	
0	11	AY1	4A-rep3	-1	13.76	81.58	1.92	
0	0	AY1	6A-rep1	-1	13.25	81.52	1.98	
0	1	AY1	6A-rep2	-1	14.01	81.47	1.94	
0	2	AY1	6A-rep3	-1	13.18	81.53	1.9	
0	3	AY1	6B-rep1	-1	15.57	81.4	1.94	
0	4	AY1	6B-rep2	-1	15.15	81.42	1.9	
0	5	AY1	6B-rep3	-1	15.1	81.41	1.93	
0	6	AY1	6C-rep1	-1	13.99	81.49	1.91	
0	7	AY1	6C-rep2	-1	13.87	81.48	1.94	
0	8	AY1	6C-rep3	-1	13.15	81.46	1.89	
9	33	AY10	4A-rep1	-1				NoAmplification
9	34	AY10	4A-rep2	-1				NoAmplification
9	35	AY10	4A-rep3	-1				NoAmplification
9	24	AY10	6A-rep1	-1				LowEfficiency. CtIsSmall. SaturationBaselineRatioIsLow. CurveFitFailed. HighBaseline
9	25	AY10	6A-rep2	-1				CtIsLarge. CurveFitFailed
9	26	AY10	6A-rep3	-1				LowEfficiency. CtIsSmall. SaturationBaselineRatioIsLow. CurveFitFailed
9	27	AY10	6B-rep1	-1				NoAmplification
9	28	AY10	6B-rep2	-1				NoAmplification
9	29	AY10	6B-rep3	-1				CtIsLarge. CurveFitFailed
9	30	AY10	6C-rep1	-1				NoAmplification
9	31	AY10	6C-rep2	-1				NoAmplification
9	32	AY10	6C-rep3	-1				NoAmplification
29	9	AY100	4A-rep1	-1	23.96	83.67	1.92	
29	10	AY100	4A-rep2	-1	24.3	83.63	1.92	
29	11	AY100	4A-rep3	-1	24.36	83.6	1.92	
29	0	AY100	6A-rep1	-1	25.81	83.63	1.9	
29	1	AY100	6A-rep2	-1	23.3	83.81	1.94	
29	2	AY100	6A-rep3	-1	24.1	83.65	1.92	
29	3	AY100	6B-rep1	-1	23.31	83.66	1.93	
29	4	AY100	6B-rep2	-1	26.39	83.5	1.89	
29	5	AY100	6B-rep3	-1	25.48	83.35	1.9	
29	6	AY100	6C-rep1	-1	23.85	83.71	1.94	
29	7	AY100	6C-rep2	-1	23.85	83.67	1.94	
29	8	AY100	6C-rep3	-1	25.2	83.64	1.9	
38	9	AY101	4A-rep1	-1	22.65	82.72	1.95	
38	10	AY101	4A-rep2	-1	21.62	82.72	1.9	
38	11	AY101	4A-rep3	-1	21.5	82.69	1.91	
38	0	AY101	6A-rep1	-1	22.02	82.75	1.94	
38	1	AY101	6A-rep2	-1	21.94	82.72	1.88	
38	2	AY101	6A-rep3	-1	20.08	82.81	1.86	
38	3	AY101	6B-rep1	-1	20.65	82.81	1.89	
38	4	AY101	6B-rep2	-1	19.48	82.87	1.87	SaturationBaselineRatioIsLow
38	5	AY101	6B-rep3	-1	21.11	82.72	1.88	
38	6	AY101	6C-rep1	-1	20.34	82.81	1.9	SaturationBaselineRatioIsLow
38	7	AY101	6C-rep2	-1	20.47	82.77	1.91	
38	8	AY101	6C-rep3	-1	21.32	82.7	1.9	
47	9	AY102	4A-rep1	-1				CtIsLarge. CurveFitFailed
47	10	AY102	4A-rep2	-1	27.83	78.73	1.91	
47	11	AY102	4A-rep3	-1	28.12	78.67	1.95	MultipleMeltPeaks
47	0	AY102	6A-rep1	-1				BadR2. LowEfficiency. CtIsLarge. CurveFitFailed
47	1	AY102	6A-rep2	-1	29.01	78.73	1.92	
47	2	AY102	6A-rep3	-1	30.52	86.8	1.9	CtIsLarge
47	3	AY102	6B-rep1	-1	28.91	78.49	1.92	
47	4	AY102	6B-rep2	-1	29.8	78.47	1.88	CtIsLarge. MultipleMeltPeaks
47	5	AY102	6B-rep3	-1				LowEfficiency. CtIsLarge. CurveFitFailed
47	6	AY102	6C-rep1	-1	29.7	78.68	1.87	CtIsLarge. MultipleMeltPeaks
47	7	AY102	6C-rep2	-1	28.19	78.72	1.93	
47	8	AY102	6C-rep3	-1				CtIsLarge. CurveFitFailed
56	9	AY103	4A-rep1	-1	28.27	80.45	1.92	
56	10	AY103	4A-rep2	-1	26.47	80.59	1.9	
56	11	AY103	4A-rep3	-1	27.07	80.57	1.91	
56	0	AY103	6A-rep1	-1	27.5	80.49	1.91	
56	1	AY103	6A-rep2	-1	27.3	80.46	1.91	
56	2	AY103	6A-rep3	-1	26.64	80.66	1.92	
56	3	AY103	6B-rep1	-1	28.39	80.6	1.92	
56	4	AY103	6B-rep2	-1	27.41	80.64	1.91	
56	5	AY103	6B-rep3	-1	27.24	80.63	1.92	
56	6	AY103	6C-rep1	-1	26.36	80.66	1.91	
56	7	AY103	6C-rep2	-1	28.04	80.48	1.92	
56	8	AY103	6C-rep3	-1	27.31	80.42	1.91	
65	9	AY104	4A-rep1	-1				NoAmplification
65	10	AY104	4A-rep2	-1				NoAmplification
65	11	AY104	4A-rep3	-1				NoAmplification
65	0	AY104	6A-rep1	-1				NoAmplification
65	1	AY104	6A-rep2	-1				NoAmplification
65	2	AY104	6A-rep3	-1				CurveFitFailed
65	3	AY104	6B-rep1	-1				LowEfficiency. CtIsSmall. CurveFitFailed
65	4	AY104	6B-rep2	-1				CurveFitFailed
65	5	AY104	6B-rep3	-1				LowEfficiency. CtIsSmall. CurveFitFailed
65	6	AY104	6C-rep1	-1				LowEfficiency. CtIsSmall. SaturationBaselineRatioIsLow. CurveFitFailed
65	7	AY104	6C-rep2	-1				LowEfficiency. CtIsSmall. SaturationBaselineRatioIsLow. CurveFitFailed
65	8	AY104	6C-rep3	-1				NoAmplification
2	33	AY105	4A-rep1	-1				NoAmplification
2	34	AY105	4A-rep2	-1				NoAmplification
2	35	AY105	4A-rep3	-1				NoAmplification
2	24	AY105	6A-rep1	-1				LowEfficiency. CtIsSmall. SaturationBaselineRatioIsLow. CurveFitFailed
2	25	AY105	6A-rep2	-1				LowEfficiency. CtIsSmall. CurveFitFailed
2	26	AY105	6A-rep3	-1				LowEfficiency. CtIsSmall. SaturationBaselineRatioIsLow. CurveFitFailed
2	27	AY105	6B-rep1	-1				NoAmplification
2	28	AY105	6B-rep2	-1				NoAmplification
2	29	AY105	6B-rep3	-1				NoAmplification
