Row	Column	Assay	Sample	Conc	Ct	Tm	Efficiency	Flags
0	0	AY1	7A-rep1	-1	17.3		2	
0	1	AY1	7A-rep2	-1	17.3		2	
0	2	AY1	7A-rep3	-1	17.42		2	
0	3	AY1	7B-rep1	-1	18.36		2	
0	4	AY1	7B-rep2	-1	18.19		2	
0	5	AY1	7B-rep3	-1	18.5		2	
0	6	AY1	7C-rep1	-1	18.9		2	
0	7	AY1	7C-rep2	-1	18.74		2	
0	8	AY1	7C-rep3	-1	18.89		2	
0	9	AY1	8A-rep1	-1	22.8		2	
0	10	AY1	8A-rep2	-1	22.8		2	
0	11	AY1	8A-rep3	-1	23		2	
0	0	AY1	8C-rep1	-1	14.49	81.97	2.11	
0	1	AY1	8C-rep2	-1	14.26	82.09	1.91	
0	2	AY1	8C-rep3	-1	13.89	82.11	2.06	
9	24	AY10	7A-rep1	-1				NoAmplification
9	25	AY10	7A-rep2	-1				NoAmplification
9	26	AY10	7A-rep3	-1				NoAmplification
9	27	AY10	7B-rep1	-1				NoAmplification
9	28	AY10	7B-rep2	-1				NoAmplification
9	29	AY10	7B-rep3	-1				NoAmplification
9	30	AY10	7C-rep1	-1				NoAmplification
9	31	AY10	7C-rep2	-1				NoAmplification
9	32	AY10	7C-rep3	-1				NoAmplification
9	33	AY10	8A-rep1	-1				NoAmplification
9	34	AY10	8A-rep2	-1				NoAmplification
9	35	AY10	8A-rep3	-1				NoAmplification
9	24	AY10	8C-rep1	-1	34.52	81.21	1.72	LowEfficiency. CtIsLarge
9	25	AY10	8C-rep2	-1				NoAmplification
9	26	AY10	8C-rep3	-1				NoAmplification
29	0	AY100	7A-rep1	-1	29.28	83.25	1.9	
29	1	AY100	7A-rep2	-1	34.63	83.36	1.87	CtIsLarge
29	2	AY100	7A-rep3	-1	29.19	83.58	1.9	
29	3	AY100	7B-rep1	-1	27.81	83.46	1.88	
29	4	AY100	7B-rep2	-1				LowEfficiency. CtIsLarge. CurveFitFailed
29	5	AY100	7B-rep3	-1	34.85	82.84	1.85	CtIsLarge
29	6	AY100	7C-rep1	-1	29.06	83.45	1.9	
29	7	AY100	7C-rep2	-1	27.71	83.5	1.9	
29	8	AY100	7C-rep3	-1	32.52	83.45	1.95	CtIsLarge
29	9	AY100	8A-rep1	-1				CurveFitFailed
29	10	AY100	8A-rep2	-1				CurveFitFailed
29	11	AY100	8A-rep3	-1				NoAmplification
29	0	AY100	8C-rep1	-1				LowEfficiency. CtIsLarge. CurveFitFailed
29	1	AY100	8C-rep2	-1				CtIsLarge. CurveFitFailed
29	2	AY100	8C-rep3	-1				CtIsLarge. CurveFitFailed
38	0	AY101	7A-rep1	-1	27.51	82.65	1.79	LowEfficiency. SaturationBaselineRatioIsLow
38	1	AY101	7A-rep2	-1	26.61	82.74	1.86	SaturationBaselineRatioIsLow
38	2	AY101	7A-rep3	-1	25.29	82.78	1.89	SaturationBaselineRatioIsLow
38	3	AY101	7B-rep1	-1	24.85	82.84	1.9	SaturationBaselineRatioIsLow
38	4	AY101	7B-rep2	-1	24.59	82.9	1.94	SaturationBaselineRatioIsLow
38	5	AY101	7B-rep3	-1	26.08	82.8	1.86	SaturationBaselineRatioIsLow
38	6	AY101	7C-rep1	-1	24.91	82.87	1.91	SaturationBaselineRatioIsLow
38	7	AY101	7C-rep2	-1	24.52	82.87	1.94	SaturationBaselineRatioIsLow
38	8	AY101	7C-rep3	-1	25	82.74	1.94	SaturationBaselineRatioIsLow
38	9	AY101	8A-rep1	-1				NoAmplification
38	10	AY101	8A-rep2	-1	30.84	82.45	1.86	CtIsLarge. SaturationBaselineRatioIsLow
38	11	AY101	8A-rep3	-1	33.96	80.85	1.78	LowEfficiency. CtIsLarge. SaturationBaselineRatioIsLow
38	0	AY101	8C-rep1	-1	25.71	83.08	1.89	
38	1	AY101	8C-rep2	-1	25.98	83.08	1.92	
38	2	AY101	8C-rep3	-1	27.02	83.04	1.87	
47	0	AY102	7A-rep1	-1				CurveFitFailed
47	1	AY102	7A-rep2	-1				CurveFitFailed
47	2	AY102	7A-rep3	-1	30.32	78.66	1.88	CtIsLarge
47	3	AY102	7B-rep1	-1	29.27	79.1	1.88	
47	4	AY102	7B-rep2	-1	29.69	79.14	1.89	CtIsLarge
47	5	AY102	7B-rep3	-1				LowEfficiency. CtIsLarge. CurveFitFailed
47	6	AY102	7C-rep1	-1				LowEfficiency. CtIsLarge. CurveFitFailed
47	7	AY102	7C-rep2	-1				CurveFitFailed
47	8	AY102	7C-rep3	-1	33.64	83.04	1.84	CtIsLarge
47	9	AY102	8A-rep1	-1	32.94	83.21	1.86	CtIsLarge
47	10	AY102	8A-rep2	-1	28.97	79.81	1.9	
47	11	AY102	8A-rep3	-1				NoAmplification
47	0	AY102	8C-rep1	-1				LowEfficiency. CtIsLarge. CurveFitFailed
47	1	AY102	8C-rep2	-1				CtIsLarge. CurveFitFailed
47	2	AY102	8C-rep3	-1				LowEfficiency. CtIsLarge. CurveFitFailed
56	0	AY103	7A-rep1	-1				NoAmplification
56	1	AY103	7A-rep2	-1				LowEfficiency. CtIsLarge. CurveFitFailed
56	2	AY103	7A-rep3	-1	28.68	80.33	1.9	
56	3	AY103	7B-rep1	-1				CtIsLarge. CurveFitFailed
56	4	AY103	7B-rep2	-1				CtIsLarge. CurveFitFailed
56	5	AY103	7B-rep3	-1	28.27	80.33	1.87	
56	6	AY103	7C-rep1	-1				CtIsLarge. CurveFitFailed
56	7	AY103	7C-rep2	-1				CtIsLarge. CurveFitFailed
56	8	AY103	7C-rep3	-1	28.48	80.36	1.89	
56	9	AY103	8A-rep1	-1				NoAmplification
56	10	AY103	8A-rep2	-1				NoAmplification
56	11	AY103	8A-rep3	-1				NoAmplification
56	0	AY103	8C-rep1	-1				CtIsLarge. CurveFitFailed
56	1	AY103	8C-rep2	-1				CtIsLarge. CurveFitFailed
56	2	AY103	8C-rep3	-1				CtIsLarge. CurveFitFailed
65	0	AY104	7A-rep1	-1				NoAmplification
65	1	AY104	7A-rep2	-1				NoAmplification
65	2	AY104	7A-rep3	-1				NoAmplification
65	3	AY104	7B-rep1	-1				NoAmplification
65	4	AY104	7B-rep2	-1				NoAmplification
65	5	AY104	7B-rep3	-1				NoAmplification
65	6	AY104	7C-rep1	-1				NoAmplification
65	7	AY104	7C-rep2	-1				NoAmplification
65	8	AY104	7C-rep3	-1				NoAmplification
65	9	AY104	8A-rep1	-1				NoAmplification
65	10	AY104	8A-rep2	-1				NoAmplification
65	11	AY104	8A-rep3	-1				NoAmplification
65	0	AY104	8C-rep1	-1				NoAmplification
65	1	AY104	8C-rep2	-1				NoAmplification
65	2	AY104	8C-rep3	-1				NoAmplification
2	24	AY105	7A-rep1	-1				NoAmplification
2	25	AY105	7A-rep2	-1				NoAmplification
2	26	AY105	7A-rep3	-1				NoAmplification
2	27	AY105	7B-rep1	-1				NoAmplification
2	28	AY105	7B-rep2	-1				NoAmplification
2	29	AY105	7B-rep3	-1				NoAmplification
2	30	AY105	7C-rep1	-1				NoAmplification
2	31	AY105	7C-rep2	-1				NoAmplification
2	32	AY105	7C-rep3	-1				NoAmplification
2	33	AY105	8A-rep1	-1				NoAmplification
2	34	AY105	8A-rep2	-1				NoAmplification
2	35	AY105	8A-rep3	-1				NoAmplification
2	24	AY105	8C-rep1	-1				NoAmplification
2	25	AY105	8C-rep2	-1				NoAmplification
2	26	AY105	8C-rep3	-1				NoAmplification
11	24	AY106	7A-rep1	-1				CtIsLarge. CurveFitFailed
11	25	AY106	7A-rep2	-1	27.99	77.3	1.96	
11	26	AY106	7A-rep3	-1				NoAmplification
11	27	AY106	7B-rep1	-1	28.74	77.25	1.96	
11	28	AY106	7B-rep2	-1	28.78	77.25	1.96	
11	29	AY106	7B-rep3	-1				NoAmplification
11	30	AY106	7C-rep1	-1	29.53	77.22	1.98	CtIsLarge
11	31	AY106	7C-rep2	-1	28.49	77.21	1.96	
11	32	AY106	7C-rep3	-1	28.2	77.3	1.97	
11	33	AY106	8A-rep1	-1				NoAmplification
11	34	AY106	8A-rep2	-1				NoAmplification
11	35	AY106	8A-rep3	-1				CtIsLarge. CurveFitFailed
11	24	AY106	8C-rep1	-1				NoAmplification
11	25	AY106	8C-rep2	-1				NoAmplification
11	26	AY106	8C-rep3	-1	28.47	77.41	1.97	
20	24	AY107	7A-rep1	-1				NoAmplification
20	25	AY107	7A-rep2	-1				NoAmplification
20	26	AY107	7A-rep3	-1				NoAmplification
20	27	AY107	7B-rep1	-1				NoAmplification
20	28	AY107	7B-rep2	-1				NoAmplification
20	29	AY107	7B-rep3	-1				NoAmplification
20	30	AY107	7C-rep1	-1				NoAmplification
20	31	AY107	7C-rep2	-1				NoAmplification
20	32	AY107	7C-rep3	-1				NoAmplification
20	33	AY107	8A-rep1	-1				NoAmplification
20	34	AY107	8A-rep2	-1				NoAmplification
20	35	AY107	8A-rep3	-1				NoAmplification
20	24	AY107	8C-rep1	-1				NoAmplification
20	25	AY107	8C-rep2	-1				NoAmplification
20	26	AY107	8C-rep3	-1				NoAmplification
29	24	AY108	7A-rep1	-1				NoAmplification
29	25	AY108	7A-rep2	-1				NoAmplification
29	26	AY108	7A-rep3	-1				CurveFitFailed
29	27	AY108	7B-rep1	-1				NoAmplification
29	28	AY108	7B-rep2	-1				NoAmplification
29	29	AY108	7B-rep3	-1				NoAmplification
29	30	AY108	7C-rep1	-1				NoAmplification
29	31	AY108	7C-rep2	-1				NoAmplification
29	32	AY108	7C-rep3	-1				CurveFitFailed
29	33	AY108	8A-rep1	-1				NoAmplification
29	34	AY108	8A-rep2	-1				NoAmplification
29	35	AY108	8A-rep3	-1				NoAmplification
29	24	AY108	8C-rep1	-1	33.27	81.12	1.95	CtIsLarge
29	25	AY108	8C-rep2	-1				CtIsLarge. CurveFitFailed
29	26	AY108	8C-rep3	-1				NoAmplification
38	24	AY109	7A-rep1	-1				LowEfficiency. CtIsLarge. SaturationBaselineRatioIsLow. CurveFitFailed
38	25	AY109	7A-rep2	-1				NoAmplification
38	26	AY109	7A-rep3	-1				NoAmplification
38	27	AY109	7B-rep1	-1				LowEfficiency. CtIsLarge. CurveFitFailed
38	28	AY109	7B-rep2	-1				CurveFitFailed
38	29	AY109	7B-rep3	-1				LowEfficiency. CtIsLarge. CurveFitFailed
38	30	AY109	7C-rep1	-1				LowEfficiency. CtIsLarge. CurveFitFailed
38	31	AY109	7C-rep2	-1				CurveFitFailed
38	32	AY109	7C-rep3	-1				NoAmplification
38	33	AY109	8A-rep1	-1				NoAmplification
38	34	AY109	8A-rep2	-1				NoAmplification
38	35	AY109	8A-rep3	-1				NoAmplification
38	24	AY109	8C-rep1	-1	28.58	81.44	1.92	
38	25	AY109	8C-rep2	-1				NoAmplification
38	26	AY109	8C-rep3	-1				NoAmplification
18	24	AY11	7A-rep1	-1				NoAmplification
18	25	AY11	7A-rep2	-1				NoAmplification
18	26	AY11	7A-rep3	-1				NoAmplification
18	27	AY11	7B-rep1	-1				NoAmplification
18	28	AY11	7B-rep2	-1				NoAmplification
18	29	AY11	7B-rep3	-1				NoAmplification
18	30	AY11	7C-rep1	-1				NoAmplification
18	31	AY11	7C-rep2	-1				NoAmplification
18	32	AY11	7C-rep3	-1				NoAmplification
18	33	AY11	8A-rep1	-1				NoAmplification
18	34	AY11	8A-rep2	-1				NoAmplification
18	35	AY11	8A-rep3	-1				NoAmplification
18	24	AY11	8C-rep1	-1				CurveFitFailed
18	25	AY11	8C-rep2	-1				LowEfficiency. CtIsLarge. CurveFitFailed
18	26	AY11	8C-rep3	-1	28.97	82.42	1.91	
47	24	AY110	7A-rep1	-1	34.38	72.29	1.88	CtIsLarge
47	25	AY110	7A-rep2	-1				CtIsLarge. CurveFitFailed
47	26	AY110	7A-rep3	-1				CurveFitFailed
47	27	AY110	7B-rep1	-1	28.28	83.73	1.91	
47	28	AY110	7B-rep2	-1				NoAmplification
47	29	AY110	7B-rep3	-1				CurveFitFailed
47	30	AY110	7C-rep1	-1	34.66	87.11	1.83	CtIsLarge
47	31	AY110	7C-rep2	-1				LowEfficiency. CtIsLarge. CurveFitFailed
47	32	AY110	7C-rep3	-1				CtIsLarge. CurveFitFailed
47	33	AY110	8A-rep1	-1				NoAmplification
47	34	AY110	8A-rep2	-1				NoAmplification
47	35	AY110	8A-rep3	-1				CtIsLarge. CurveFitFailed
47	24	AY110	8C-rep1	-1				CtIsLarge. CurveFitFailed
47	25	AY110	8C-rep2	-1	28.64	84.07	1.91	
47	26	AY110	8C-rep3	-1				NoAmplification
56	24	AY111	7A-rep1	-1	30.32	90.41	1.85	CtIsLarge
56	25	AY111	7A-rep2	-1	29.04	90.5	1.84	MultipleMeltPeaks
56	26	AY111	7A-rep3	-1	27.93	90.12	1.86	MultipleMeltPeaks
56	27	AY111	7B-rep1	-1	27.21	90.56	1.88	MultipleMeltPeaks
56	28	AY111	7B-rep2	-1	30.58	90.71	1.88	CtIsLarge
56	29	AY111	7B-rep3	-1	29.6	90.69	1.85	CtIsLarge
56	30	AY111	7C-rep1	-1	27.76	90.44	1.85	
56	31	AY111	7C-rep2	-1	30.89	90.68	1.78	LowEfficiency. CtIsLarge
56	32	AY111	7C-rep3	-1	30.35	90.44	1.88	CtIsLarge
56	33	AY111	8A-rep1	-1				LowEfficiency. CtIsLarge. CurveFitFailed
56	34	AY111	8A-rep2	-1	32.35	85.61	1.83	CtIsLarge
56	35	AY111	8A-rep3	-1				LowEfficiency. CtIsLarge. CurveFitFailed
56	24	AY111	8C-rep1	-1	31.14	90.78	1.88	CtIsLarge
56	25	AY111	8C-rep2	-1	29.37	90.81	1.88	
56	26	AY111	8C-rep3	-1	31.62	90.85	1.81	CtIsLarge
65	24	AY112	7A-rep1	-1				CurveFitFailed
65	25	AY112	7A-rep2	-1				LowEfficiency. CtIsLarge. CurveFitFailed
65	26	AY112	7A-rep3	-1				CurveFitFailed
65	27	AY112	7B-rep1	-1				CurveFitFailed
65	28	AY112	7B-rep2	-1				NoAmplification
65	29	AY112	7B-rep3	-1				CtIsLarge. CurveFitFailed
65	30	AY112	7C-rep1	-1				NoAmplification
65	31	AY112	7C-rep2	-1				CurveFitFailed
65	32	AY112	7C-rep3	-1				LowEfficiency. CtIsLarge. CurveFitFailed
65	33	AY112	8A-rep1	-1				NoAmplification
65	34	AY112	8A-rep2	-1				NoAmplification
65	35	AY112	8A-rep3	-1				NoAmplification
65	24	AY112	8C-rep1	-1				CurveFitFailed
65	25	AY112	8C-rep2	-1				CtIsLarge. CurveFitFailed
65	26	AY112	8C-rep3	-1				LowEfficiency. CtIsLarge. CurveFitFailed
2	12	AY113	7A-rep1	-1	27.86	87.57	1.88	MultipleMeltPeaks
2	13	AY113	7A-rep2	-1	28.87	88.08	1.88	MultipleMeltPeaks
2	14	AY113	7A-rep3	-1	29.32	88.42	1.93	
2	15	AY113	7B-rep1	-1	29.89	88.46	1.87	CtIsLarge. MultipleMeltPeaks
2	16	AY113	7B-rep2	-1	29.84	89.54	1.87	CtIsLarge
2	17	AY113	7B-rep3	-1	29.51	90.32	1.87	CtIsLarge
2	18	AY113	7C-rep1	-1	28.36	87.74	1.9	MultipleMeltPeaks
2	19	AY113	7C-rep2	-1	28	87.95	1.87	MultipleMeltPeaks
2	20	AY113	7C-rep3	-1	28.35	87.97	1.91	
2	21	AY113	8A-rep1	-1	31.92	86.76	1.87	CtIsLarge. MultipleMeltPeaks
2	22	AY113	8A-rep2	-1	31.44	86.62	1.85	CtIsLarge. MultipleMeltPeaks
2	23	AY113	8A-rep3	-1	32.09	86.92	1.88	CtIsLarge. MultipleMeltPeaks
2	12	AY113	8C-rep1	-1	26.77	88.65	1.87	MultipleMeltPeaks
2	13	AY113	8C-rep2	-1	27.32	89	1.89	
2	14	AY113	8C-rep3	-1	27.3	89.19	1.91	
11	12	AY114	7A-rep1	-1				CtIsLarge. CurveFitFailed
11	13	AY114	7A-rep2	-1				CtIsLarge. CurveFitFailed
11	14	AY114	7A-rep3	-1				LowEfficiency. CtIsLarge. CurveFitFailed
11	15	AY114	7B-rep1	-1				NoAmplification
11	16	AY114	7B-rep2	-1				CtIsLarge. CurveFitFailed
11	17	AY114	7B-rep3	-1				NoAmplification
11	18	AY114	7C-rep1	-1				CtIsLarge. CurveFitFailed
11	19	AY114	7C-rep2	-1				LowEfficiency. CtIsLarge. CurveFitFailed
