Row	Column	Assay	Sample	Conc	Ct	Tm	Expected Tm	R2	Chi2	Straight R2	Efficiency	Multiple peaks	Outlier	Multimodal melt peaks	F0	Flags	S-DispenseTip	S-DropIndex	S-GlobalDropIndex	S-SP-Well	A-DispenseTip	A-DropIndex	A-GlobalDropIndex	A-SP-Well	Asymmetry	A	B	C	D	E	AmpRatio	Tm minus mean	Ct minus mean
0	0	AY1	1C-rep1	-1	24.07211	82.25404		0.999984	2759.2	0.7705255	1.91517	False	False	False	5.75E-05										13	3905.344	1.406852	26.92487	11792.98	-4.359963	4.019704		
0	1	AY1	1C-rep2	-1	23.06537	82.34942		0.999984	2639.575	0.7853101	1.970114	False	False	False	5.66E-05										10	3398.514	1.352834	25.847	11220.5	0.782488	4.301589		
0	2	AY1	1C-rep3	-1	22.82397	82.26126		0.9999741	5105.583	0.7890005	1.956741	False	False	False	8.43E-05										11	3348.218	1.365442	25.62219	11890.79	3.519579	4.551378		
0	3	AY1	3A-rep1	-1	12.80902	82.31236		0.9999537	11263.6	0.7582173	1.954927	False	False	False	0.1374258										15	8293.178	1.367178	15.60953	12489.9	-68.01138	2.506045		
0	4	AY1	3A-rep2	-1	12.62055	82.3671		0.999965	8935.008	0.7396902	1.92433	False	False	False	0.2013633										12	8961.362	1.397426	15.4609	12851.5	-86.42488	2.434102		
0	5	AY1	3A-rep3	-1	12.7424	82.3205		0.999911	17281.34	0.7458418	1.925797	False	False	False	0.1599508										9	7588.868	1.395932	15.58078	11256.35	-67.78669	2.483272		
0	6	AY1	3B-rep1	-1	12.16364	82.02066		0.9973773	294706.3	0.6815493	1.829474	False	False	False	0.4263854										14	6595.139	1.504546	15.14507	10035.02	-227.3382	2.521578		
0	7	AY1	3B-rep2	-1	12.44711	82.26782		0.9992087	251474.8	0.7166296	1.848552	False	False	False	0.5006797										10	9579.797	1.48118	15.39776	16380.48	-291.5635	2.709899		
0	8	AY1	3B-rep3	-1	13.08333	81.86653		0.9978108	257637.2	0.748717	1.780937	False	False	False	0.3556038	LowEfficiency									10	4088.028	1.568868	16.14947	10507.06	-132.3486	3.570202		
0	9	AY1	3C-rep1	-1	13.15588	81.98104		0.9999874	3562.186	0.7615578	1.993121	False	False	False	0.08246682										13	5751.033	1.331892	15.90992	12708.22	25.98205	3.209729		
0	10	AY1	3C-rep2	-1	13.03565	81.97724		0.9999841	4522.781	0.7578549	1.992802	False	False	False	0.08980581										9	6019.551	1.332177	15.79007	12616.22	25.72717	3.095874		
0	11	AY1	3C-rep3	-1	13.07122	81.98504		0.9999831	5232.965	0.7438323	2.023622	False	False	False	0.07288128										16	6276.074	1.305497	15.7905	13049.11	29.99335	3.079184		
9	24	AY10	1C-rep1													NoAmplification																	
9	25	AY10	1C-rep2													CurveFitFailed																	
9	26	AY10	1C-rep3													NoAmplification																	
9	27	AY10	3A-rep1													NoAmplification																	
9	28	AY10	3A-rep2													NoAmplification																	
9	29	AY10	3A-rep3													NoAmplification																	
9	30	AY10	3B-rep1													NoAmplification																	
9	31	AY10	3B-rep2													NoAmplification																	
9	32	AY10	3B-rep3													NoAmplification																	
9	33	AY10	3C-rep1													LowEfficiency. CtIsSmall. SaturationBaselineRatioIsLow. CurveFitFailed																	
9	34	AY10	3C-rep2													CurveFitFailed																	
9	35	AY10	3C-rep3													CurveFitFailed																	
29	0	AY100	1C-rep1													NoAmplification																	
29	1	AY100	1C-rep2													NoAmplification																	
29	2	AY100	1C-rep3													NoAmplification																	
29	3	AY100	3A-rep1	-1	22.91784	84.23418		0.9999868	3958.168	0.7371277	1.907634	False	False	False	0.000196507										13	7966.39	1.414742	25.78099	16127.72	-77.34158	3.02447		
29	4	AY100	3A-rep2	-1	22.88095	84.21708		0.9999689	8931.285	0.743399	1.891666	False	False	False	0.000241284										8	6680.523	1.431876	25.76667	15764.38	-72.01736	3.359753		
29	5	AY100	3A-rep3	-1	22.8409	84.13404		0.9999547	12522	0.7494054	1.904319	False	False	False	0.000203148										13	6769.335	1.418252	25.70868	15145.22	-57.50381	3.237327		
29	6	AY100	3B-rep1	-1	24.67701	84.09316		0.9999775	6973.621	0.7248048	1.923597	False	False	False	4.26E-05										15	3776.859	1.398174	27.51834	15038.7	-17.62227	4.9818		
29	7	AY100	3B-rep2	-1	24.56435	84.01775		0.9999716	7938	0.7316453	1.92531	False	False	False	4.23E-05										9	3407.411	1.396427	27.40339	14092.78	-17.44988	5.135921		
29	8	AY100	3B-rep3	-1	24.87996	84.06128		0.9999677	9069.591	0.7194465	1.924525	False	False	False	3.57E-05										11	3784.877	1.397227	27.72005	14759.09	-19.46475	4.899489		
29	9	AY100	3C-rep1	-1	24.65577	84.09329		0.9999878	4774.35	0.7707465	1.943852	False	False	False	3.58E-05										8	5367.284	1.377913	27.47042	16318.62	17.68789	4.040386		
29	10	AY100	3C-rep2	-1	24.20354	84.04991		0.9999774	9259.313	0.7791201	1.932001	False	False	False	5.65E-05										8	5084.214	1.389666	27.03368	15871.98	14.74465	4.121815		
29	11	AY100	3C-rep3	-1	24.67729	84.03635		0.9999843	5337.964	0.7739595	1.952104	False	False	False	2.92E-05										15	5311.298	1.369892	27.48138	15065.45	26.42356	3.83649		
38	0	AY101	1C-rep1													NoAmplification																	
38	1	AY101	1C-rep2													NoAmplification																	
38	2	AY101	1C-rep3													NoAmplification																	
38	3	AY101	3A-rep1	-1	21.0886	83.17038		0.9998618	11960.8	0.7482325	1.927061	False	False	False	0.000325487										14	10981.64	1.394649	23.92529	9180.836	-70.42189	1.836017		
38	4	AY101	3A-rep2	-1	21.40917	83.15252		0.9999647	4022.412	0.7580144	1.906999	False	False	False	0.000334924										9	10169.77	1.415411	24.27321	9392.044	-56.43805	1.923526		
38	5	AY101	3A-rep3	-1	21.14328	83.15662		0.9999563	4983.008	0.7452503	1.911385	False	False	False	0.00038273										7	10640.15	1.410799	24.00124	9361.272	-81.28446	1.879807		
38	6	AY101	3B-rep1	-1	21.95985	82.93783		0.9996704	13879.81	0.7015323	1.861169	False	False	False	0.00027343										11	7060.816	1.466268	24.89087	6445.903	-48.2733	1.912912		
38	7	AY101	3B-rep2	-1	22.58631	82.92184		0.9999595	3102.091	0.6859536	1.889686	False	False	False	0.00015352										15	7933.181	1.434041	25.47488	7964.324	-48.82342	2.003926		
38	8	AY101	3B-rep3	-1	22.08355	82.8865		0.9999169	5691.052	0.6993582	1.865389	False	False	False	0.000269113										8	7649.611	1.461372	25.00811	7276.343	-58.20042	1.951204		
38	9	AY101	3C-rep1	-1	22.4972	83.07437		0.9999207	8366.899	0.7783213	1.921479	False	False	False	0.000120336										13	9139.601	1.40034	25.34139	8702.601	-20.37772	1.952186		
38	10	AY101	3C-rep2	-1	22.37654	83.01116		0.999952	6334.055	0.7935946	1.970409	False	False	False	7.73E-05										14	10040.22	1.35256	25.1578	9248.372	-6.090419	1.921132		
38	11	AY101	3C-rep3	-1	22.40177	83.03048		0.9999475	6785.005	0.7879916	1.909354	False	False	False	0.000163334										6	9690.265	1.41293	25.26254	9507.42	-17.96428	1.981131		
47	0	AY102	1C-rep1													NoAmplification																	
47	1	AY102	1C-rep2													NoAmplification																	
47	2	AY102	1C-rep3													NoAmplification																	
47	3	AY102	3A-rep1	-1	28.21666	80.24189		0.9999701	7858.166	0.5161952	1.891868	False	False	False	5.04E-06										6	7336.519	1.431655	31.10209	13708.69	-56.94103	2.868556		
47	4	AY102	3A-rep2													MultipleMeltPeaks																	
47	5	AY102	3A-rep3	-1	34.3023	84.00687		0.9998845	16872.85	0.2127822	1.863876	False	False	False	1.31E-07	CtIsLarge									15	6748.7	1.463122	37.22917	14752.56	-13.1937	3.185985		
47	6	AY102	3B-rep1	-1	33.77291	82.30247		0.9999108	17511.7	0.3337665	1.823538	False	False	False	4.13E-07	CtIsLarge									6	3815.41	1.512026	36.76419	14994.72	4.455743	4.930042		
47	7	AY102	3B-rep2													MultipleMeltPeaks																	
47	8	AY102	3B-rep3													NoAmplification																	
47	9	AY102	3C-rep1	-1	26.3618	79.25087		0.9999783	7045.306	0.7268162	1.942175	False	False	False	9.33E-06										8	5648.55	1.379559	29.17862	14311.35	15.28042	3.533633		
47	10	AY102	3C-rep2	-1	26.61148	79.12458		0.9999834	4726.891	0.7236766	1.968631	False	False	False	5.12E-06										16	5623.939	1.354216	29.39492	13676.84	15.05113	3.431896		
47	11	AY102	3C-rep3	-1	26.38397	79.24361		0.9999891	3103.659	0.7278275	1.934992	False	False	False	9.58E-06										9	5172.774	1.386673	29.21016	13487.29	12.53489	3.607361		
56	0	AY103	1C-rep1													NoAmplification																	
56	1	AY103	1C-rep2													NoAmplification																	
56	2	AY103	1C-rep3													NoAmplification																	
56	3	AY103	3A-rep1	-1	27.26652	81.07563		0.999978	7058.983	0.6006845	1.926073	False	False	False	6.40E-06										13	6539.164	1.395652	30.10454	14937.98	-52.96064	3.284387		
56	4	AY103	3A-rep2													MultipleMeltPeaks																	
56	5	AY103	3A-rep3	-1	26.90568	80.94157		0.9999781	4773.462	0.6173894	1.914363	False	False	False	8.84E-06										14	5362.87	1.407691	29.75954	13418.53	-41.51926	3.502117		
56	6	AY103	3B-rep1													MultipleMeltPeaks																	
56	7	AY103	3B-rep2	-1	29.38013	80.7646		0.9999419	12555.15	0.5294197	1.906161	False	False	False	1.57E-06										9	2656.262	1.416298	32.24533	12122.34	-10.07606	5.563682		
56	8	AY103	3B-rep3	-1	27.7856	80.81512		0.9999623	6650.878	0.4749723	1.896822	False	False	False	5.64E-06										14	5046.908	1.42628	30.66395	12262.67	-64.32219	3.429739		
56	9	AY103	3C-rep1	-1	26.77448	80.89297		0.999988	3891.872	0.7164245	1.935095	False	False	False	8.08E-06										13	4479.223	1.38657	29.60053	15084.99	15.51766	4.367769		
56	10	AY103	3C-rep2	-1	26.42591	80.90298		0.9999907	3548.076	0.7299992	1.945898	False	False	False	9.20E-06										12	4919.315	1.375912	29.23793	15578.97	21.39647	4.166899		
56	11	AY103	3C-rep3	-1	26.67398	80.87188		0.9999835	5535.479	0.726418	1.953957	False	False	False	6.61E-06										12	5182.153	1.368109	29.47573	15039.13	21.19382	3.902101		
65	0	AY104	1C-rep1													NoAmplification																	
65	1	AY104	1C-rep2													NoAmplification																	
65	2	AY104	1C-rep3													NoAmplification																	
65	3	AY104	3A-rep1	-1	29.08277	75.67368		0.9998745	37616.97	0.495528	1.958591	False	False	False	1.13E-06										21	7649.521	1.363679	31.87868	16001.08	-59.05041	3.091775		
65	4	AY104	3A-rep2													NoAmplification																	
65	5	AY104	3A-rep3													NoAmplification																	
65	6	AY104	3B-rep1													NoAmplification																	
65	7	AY104	3B-rep2													NoAmplification																	
65	8	AY104	3B-rep3													NoAmplification																	
65	9	AY104	3C-rep1													NoAmplification																	
65	10	AY104	3C-rep2													LowEfficiency. CtIsSmall. CurveFitFailed																	
65	11	AY104	3C-rep3	-1	28.84369	75.82676		0.9999393	16574.95	0.6463937	1.958688	False	False	False	1.16E-06										6	4516.41	1.363586	31.63948	13868.86	15.73822	4.070771		
2	24	AY105	1C-rep1													NoAmplification																	
2	25	AY105	1C-rep2													NoAmplification																	
2	26	AY105	1C-rep3													NoAmplification																	
2	27	AY105	3A-rep1													NoAmplification																	
2	28	AY105	3A-rep2	-1	27.82391	73.19118		0.9998484	42845.56	0.5910256	1.98593	False	False	False	1.73E-06										9	5380.938	1.338339	30.58645	14533.88	-32.60122	3.700994		
2	29	AY105	3A-rep3	-1	30.27477	73.12522		0.9998621	36960.09	0.4678339	1.990777	False	False	False	2.32E-07	CtIsLarge									13	4933.567	1.333984	33.03157	13179.54	-30.38372	3.671402		
2	30	AY105	3B-rep1	-1	29.08182	72.87553		0.9997774	29358.12	0.4550157	1.93981	False	False	False	9.97E-07										9	4129.209	1.38189	31.90171	10587.21	-31.37928	3.56398		
2	31	AY105	3B-rep2													NoAmplification																	
2	32	AY105	3B-rep3	-1	28.58727	72.83965		0.9998521	21081.21	0.5607216	1.95808	False	False	False	1.01E-06										11	2871.926	1.364165	31.38382	9934.594	-9.484235	4.459209		
2	33	AY105	3C-rep1													LowEfficiency. CtIsSmall. CurveFitFailed																	
2	34	AY105	3C-rep2													CurveFitFailed																	
2	35	AY105	3C-rep3	-1	29.71318	73.02591		0.9998863	27387.63	0.6251118	2.007145	False	False	False	2.62E-07	CtIsLarge									11	4152.417	1.31957	32.451	12535.3	20.19772	4.018796		
11	24	AY106	1C-rep1													NoAmplification																	
11	25	AY106	1C-rep2													NoAmplification																	
11	26	AY106	1C-rep3													NoAmplification																	
11	27	AY106	3A-rep1	-1	26.67274	77.74973		0.9999447	19209.94	0.6359938	1.971854	False	False	False	5.45E-06										11	5960.875	1.351218	29.45223	15938.6	-41.81245	3.67387		
11	28	AY106	3A-rep2	-1	26.78319	77.68099		0.9999033	28668.46	0.6174497	1.951997	False	False	False	6.35E-06										9	6260.814	1.369996	29.58742	15215.34	-53.37152	3.430249		
11	29	AY106	3A-rep3	-1	27.55574	77.69226		0.999929	23016.34	0.6007155	1.966123	False	False	False	2.93E-06										10	5486.737	1.356562	30.34228	15165.01	-38.10254	3.76394		
11	30	AY106	3B-rep1	-1	28.27838	77.58596		0.999903	34073.04	0.5993907	1.975519	False	False	False	1.47E-06										9	2818.52	1.34783	31.05342	14862.04	-7.492242	6.272994		
11	31	AY106	3B-rep2	-1	28.76507	77.59209		0.9999023	32814.71	0.5742252	1.964451	False	False	False	1.26E-06										6	2913.345	1.358133	31.55367	15490.51	-7.276013	6.317086		
11	32	AY106	3B-rep3	-1	27.67483	77.59682		0.9999054	32564.41	0.6197765	1.964386	False	False	False	2.82E-06										8	3138.309	1.358194	30.46351	15516.7	-9.141417	5.944286		
11	33	AY106	3C-rep1													CtIsLarge. CurveFitFailed																	
11	34	AY106	3C-rep2	-1	26.91931	77.65215		0.9999517	15984.09	0.7165067	1.989218	False	False	False	3.38E-06										7	4596.413	1.335381	29.67795	15181.14	24.42645	4.302824		
